transaction_id,transaction_date,customer_id,product_id,product_name,category,quantity,unit_price,discount,region,sales_channel,payment_method
TXN1000000,2025-08-07,CUST012711,P5001,Project Management Suite,Software,1,41.95,0.05,International,Partner,Credit Card
TXN1000001,2023-09-23,CUST007256,P3001,Coffee Maker,Home & Kitchen,7,123.28,0.15,International,Wholesale,Credit Card
TXN1000002,2024-07-09,CUST007326,P5002,Analytics Platform License,Software,3,244.46,0.05,Midwest,Retail Store,PayPal
TXN1000003,2022-08-20,CUST004580,P4003,Travel Backpack,Apparel,4,79.36,0.0,South,Retail Store,Debit Card
TXN1000004,2024-02-22,CUST009280,P1002,Wireless Headphones,Electronics,2,161.22,0.15,West,Wholesale,ACH
TXN1000005,2023-10-06,CUST015967,P6001,Commercial Printer,Office Supplies,6,451.46,0.0,Midwest,Online,Credit Card
TXN1000006,2023-12-15,CUST014267,P5001,Project Management Suite,Software,4,44.69,0.1,West,Online,Credit Card
TXN1000007,2022-10-19,CUST012781,P5001,Project Management Suite,Software,1,38.79,0.05,West,Online,ACH
TXN1000008,2025-07-14,CUST013835,P1002,Wireless Headphones,Electronics,1,153.98,0.15,South,Online,Debit Card
TXN1000009,2022-05-22,CUST010099,P3001,Coffee Maker,Home & Kitchen,1,111.59,0.1,Midwest,Online,Debit Card
TXN1000010,2025-03-02,CUST011982,P2002,Standing Desk,Furniture,5,485.49,0.15,South,Partner,ACH
TXN1000011,2025-11-01,CUST014824,P5003,Security Monitoring Plan,Software,1,153.37,0.25,International,Retail Store,Credit Card
TXN1000012,2022-06-30,CUST011036,P4001,Running Shoes,Apparel,1,120.56,0.0,South,Online,Debit Card
TXN1000013,2023-10-19,CUST007497,P5002,Analytics Platform License,Software,1,242.11,0.1,Northeast,Online,PayPal
TXN1000014,2024-05-30,CUST008845,P3001,Coffee Maker,Home & Kitchen,5,123.02,0.05,South,Retail Store,Debit Card
TXN1000015,2025-12-22,CUST001207,P1004,4K Monitor,Electronics,4,342.06,0.0,Northeast,Retail Store,Debit Card
TXN1000016,2025-07-13,CUST012039,P3003,Cookware Set,Home & Kitchen,3,243.83,0.05,Northeast,Online,PayPal
TXN1000017,2023-09-23,CUST003445,P1001,Laptop Pro 14,Electronics,1,1331.86,0.05,West,Inside Sales,Debit Card
TXN1000018,2025-11-28,CUST015968,P5002,Analytics Platform License,Software,1,225.71,0.1,Midwest,Online,Credit Card
TXN1000019,2023-05-24,CUST015825,P4001,Running Shoes,Apparel,2,108.91,0.1,Northeast,Wholesale,Credit Card
TXN1000020,2023-06-07,CUST011863,P5001,Project Management Suite,Software,1,36.56,0.2,South,Retail Store,Credit Card
TXN1000021,2024-01-13,CUST002846,P2002,Standing Desk,Furniture,5,591.16,0.0,South,Online,Credit Card
TXN1000022,2025-02-27,CUST005720,P6001,Commercial Printer,Office Supplies,1,435.32,0.05,West,Online,Credit Card
TXN1000023,2022-10-29,CUST011189,P5002,Analytics Platform License,Software,1,237.22,0.2,West,Wholesale,Credit Card
TXN1000024,2024-12-23,CUST011384,P5001,Project Management Suite,Software,1,46.06,0.0,Northeast,Online,ACH
TXN1000025,2022-01-06,CUST005488,P1003,Smartphone Max,Electronics,5,863.58,0.2,Northeast,Wholesale,Credit Card
TXN1000026,2023-01-24,CUST008194,P3001,Coffee Maker,Home & Kitchen,4,119.05,0.2,West,Retail Store,ACH
TXN1000027,2025-12-05,CUST008162,P1001,Laptop Pro 14,Electronics,4,1432.52,0.1,International,Online,Credit Card
TXN1000028,2024-09-12,CUST011427,P1003,Smartphone Max,Electronics,1,804.87,0.0,International,Online,Invoice
TXN1000029,2023-11-22,CUST001348,P4002,Performance Jacket,Apparel,5,186.98,0.25,Northeast,Retail Store,Debit Card
TXN1000030,2024-12-12,CUST002160,P4003,Travel Backpack,Apparel,1,104.17,0.05,South,Online,Credit Card
TXN1000031,2023-10-21,CUST007636,P6001,Commercial Printer,Office Supplies,1,500.86,0.05,Northeast,Wholesale,Credit Card
TXN1000032,2022-07-01,CUST000437,P2001,Office Chair,Furniture,3,229.08,0.0,International,Online,Debit Card
TXN1000033,2023-12-29,CUST004563,P2002,Standing Desk,Furniture,3,547.45,0.0,South,Inside Sales,ACH
TXN1000034,2025-11-13,CUST002924,P3001,Coffee Maker,Home & Kitchen,7,117.58,0.0,West,Online,Credit Card
TXN1000035,2023-02-13,CUST002503,P1003,Smartphone Max,Electronics,1,910.16,0.05,South,Online,ACH
TXN1000036,2022-04-09,CUST005057,P1002,Wireless Headphones,Electronics,2,143.26,0.1,Northeast,Retail Store,Credit Card
TXN1000037,2024-12-22,CUST012290,P3001,Coffee Maker,Home & Kitchen,5,126.93,0.0,South,Retail Store,ACH
TXN1000038,2023-11-13,CUST011209,P1004,4K Monitor,Electronics,1,362.58,0.0,International,Partner,Credit Card
TXN1000039,2023-05-30,CUST014215,P4002,Performance Jacket,Apparel,1,199.96,0.2,West,Online,Debit Card
TXN1000040,2023-12-19,CUST007979,P3001,Coffee Maker,Home & Kitchen,1,133.87,0.0,Midwest,Wholesale,Credit Card
TXN1000041,2025-10-13,CUST015046,P5002,Analytics Platform License,Software,5,255.98,0.25,South,Online,PayPal
TXN1000042,2023-01-01,CUST011509,P4003,Travel Backpack,Apparel,2,90.82,0.05,Northeast,Online,Credit Card
TXN1000043,2022-11-08,CUST009731,P2001,Office Chair,Furniture,2,213.41,0.1,Northeast,Online,Debit Card
TXN1000044,2024-03-06,CUST008957,P5002,Analytics Platform License,Software,5,238.97,0.05,Northeast,Retail Store,Invoice
TXN1000045,2023-11-23,CUST002938,P5001,Project Management Suite,Software,3,35.26,0.15,Midwest,Online,Debit Card
TXN1000046,2022-09-03,CUST000141,P2003,Bookshelf,Furniture,6,169.69,0.05,West,Online,Credit Card
TXN1000047,2024-05-23,CUST009360,P2001,Office Chair,Furniture,2,248.1,0.1,South,Partner,PayPal
TXN1000048,2024-05-13,CUST010695,P4002,Performance Jacket,Apparel,1,187.6,0.05,International,Inside Sales,ACH
TXN1000049,2024-06-29,CUST000672,P1002,Wireless Headphones,Electronics,1,134.32,0.0,South,Retail Store,Credit Card
TXN1000050,2023-09-22,CUST002175,P1003,Smartphone Max,Electronics,1,945.74,0.1,Midwest,Partner,Credit Card
TXN1000051,2023-03-18,CUST009501,P1001,Laptop Pro 14,Electronics,4,1184.27,0.15,Midwest,Online,Credit Card
TXN1000052,2023-05-20,CUST009258,P5001,Project Management Suite,Software,3,38.55,0.25,West,Wholesale,Credit Card
TXN1000053,2025-05-29,CUST009394,P4002,Performance Jacket,Apparel,2,202.13,0.1,International,Retail Store,Credit Card
TXN1000054,2024-07-27,CUST007319,P4003,Travel Backpack,Apparel,2,105.79,0.0,West,Wholesale,Credit Card
TXN1000055,2023-08-31,CUST007122,P5001,Project Management Suite,Software,1,33.15,0.15,Midwest,Online,Credit Card
TXN1000056,2024-07-10,CUST012467,P3001,Coffee Maker,Home & Kitchen,3,117.64,0.1,International,Inside Sales,Credit Card
TXN1000057,2023-06-21,CUST004542,P3003,Cookware Set,Home & Kitchen,3,275.07,0.1,South,Partner,ACH
